id;placed_date;status;code;customer_id
1;2020-11-04T13:52:50;COMPLETED;Georgia calculate withdrawal;1
2;2020-11-04T00:49:20;COMPLETED;compress Steel out-of-the-box;2
3;2020-11-04T02:20:32;PENDING;Concrete;3
4;2020-11-04T15:46:27;CANCELLED;Investment Account;4
5;2020-11-04T03:03:17;PENDING;United States of America;5
6;2020-11-04T17:15:21;CANCELLED;IB Industrial Credit Card Account;6
7;2020-11-04T20:21:46;CANCELLED;Cotton Egyptian Pound;7
8;2020-11-04T05:17:50;COMPLETED;Home Loan Account;8
9;2020-11-04T14:12:06;COMPLETED;Human;9
10;2020-11-04T00:20:44;CANCELLED;payment;10
